url,Données de base,Équipement,Certificats et attestations de conformité,Urbanisme et risques environnementaux,Aménagement intérieur,Cuisine et sanitaires,Description extérieure,Chauffage et énergie
https://immovlan.be/fr/detail/appartement/a-vendre/1730/asse/rbt67945,Non,Non,,Oui,,,,Gaz
https://immovlan.be/fr/detail/appartement/a-vendre/1070/anderlecht/vbc88409,À rénover,,,Non,2,12 m²,3,Non
https://immovlan.be/fr/detail/maison/a-vendre/3070/kortenberg/rbt67766,Nouveau,,,Oui,4,,,Oui
https://immovlan.be/fr/detail/maison/a-vendre/3070/kortenberg/rbt67764,Nouveau,,0 kWh/m²/an,,4,,,Oui
https://immovlan.be/fr/detail/maison/a-vendre/3070/kortenberg/rbt67763,Nouveau,,,Oui,4,,,Oui
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67762,Nouveau,,,"Zone, info non disponible",,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67760,Nouveau,,,Oui,4,,3,Oui
https://immovlan.be/fr/detail/maison/a-vendre/8791/beveren-leie/rbt67755,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,
https://immovlan.be/fr/detail/maison/a-vendre/3650/dilsen-stokkem/rbt67798,Nouveau,Non,pas d'application,,4,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/5030/lonzee/vbc88347,À rénover,Non,870 kWh/m²/an,Information non communiquée,,,2,Electrique
https://immovlan.be/fr/detail/terrain-a-batir/a-vendre/8800/roeselare/rbt67776,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,1359 m²,
https://immovlan.be/fr/detail/maison/a-vendre/2440/geel/rbt67563,Normal,,291 kWh/m²/an,Non,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7100/la-louviere/vbc88325,À rénover,,433 kWh/m²/an,Information non communiquée,,,4,Mazout
https://immovlan.be/fr/detail/maison/a-vendre/8550/zwevegem/rbt67501,Non,Non,96 kWh/m²/an,,5,Equipée,,Oui
https://immovlan.be/fr/detail/appartement/a-vendre/4000/liege/vbc88266,Remis à neuf,Oui,,,3,,,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/4570/marchin/vbc88261,À rénover,,296 kWh/m²/an,Non,4,,Ouest,Mazout
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-pierre/vbc88244,Normal,Oui,194 kWh/m²/an,,3,Equipée,2,
https://immovlan.be/fr/detail/appartement/a-vendre/2260/zoerle-parwijs/rbt67578,Normal,,,,,1,,
https://immovlan.be/fr/detail/bureaux/a-vendre/9880/aalter/rbt67556,Nouveau,,,,,,,Electrique
https://immovlan.be/fr/detail/appartement/a-vendre/2500/lier/rbt67552,Nouveau,,,,,Super équipée,,Oui
https://immovlan.be/fr/detail/appartement/a-vendre/2500/lier/rbt67551,Nouveau,Oui,,,,Super équipée,Sud,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/5000/namur/vbc88148,À rénover,Non,402 kWh/m²/an,Oui,3,,,
https://immovlan.be/fr/detail/maison/a-vendre/6240/farciennes/vbc88142,À rénover,,,Non,,,Sud-ouest,Non specifié
https://immovlan.be/fr/detail/appartement/a-vendre/4500/huy/vbc88007,Normal,,304 kWh/m²/an,,,6 m²,,
https://immovlan.be/fr/detail/immeuble-de-rapport/a-vendre/6000/charleroi/vbc87973,Excellent,,,,7,7,3,
https://immovlan.be/fr/detail/garage/a-vendre/6220/lambusart/vbc87972,À rénover,,,Information non communiquée,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8550/zwevegem/rbt67350,À rénover,,,Zone d'extension d'habitat,5,,,
https://immovlan.be/fr/detail/surface-commerciale/a-vendre/5190/jemeppe-sur-sambre/vbc87828,Normal,,,Non,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6850/paliseul/vbc87783,Normal,,,Oui,,Semi-équipée,Sud,Mazout
https://immovlan.be/fr/detail/maison/a-vendre/4000/glain/vbc87769,À rénover,,,Non,2,,Oui,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/8880/ledegem/rbt67140,Remis à neuf,,"oui, attestation conforme",Oui,,,2,
https://immovlan.be/fr/detail/appartement/a-vendre/1348/louvain-la-neuve/vbc87693,Non,,198 kWh/m²/an,,3,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9270/laarne/rbt67134,Normal,,246 kWh/m²/an,,,,3,
https://immovlan.be/fr/detail/maison/a-vendre/9240/zele/rbt67003,À rénover,Non,575 kWh/m²/an,Information non communiquée,,,2,
https://immovlan.be/fr/detail/surface-commerciale/a-vendre/9120/beveren/rbt67002,À rénover,,,,,,,
https://immovlan.be/fr/detail/terrain/a-vendre/9340/lede/rbt67001,A l’acte,,,Information non communiquée,,,340 m²,
https://immovlan.be/fr/detail/terrain/a-vendre/9420/erpe-mere/rbt67000,A l’acte,,,Information non communiquée,,,253 m²,
https://immovlan.be/fr/detail/maison/a-vendre/2300/turnhout/rbt66812,Normal,,300 kWh/m²/an,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4040/herstal/vbc87639,Normal,,415 kWh/m²/an,,4,,Nord,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/1340/ottignies-louvain-la-neuve/vbc87590,À rénover,Non,706 kWh/m²/an,Non,3,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt66893,Nouveau,,,Oui,,Super équipée,,Oui
https://immovlan.be/fr/detail/appartement/a-vendre/4000/liege/vbc87565,Normal,,118 kWh/m²/an,Information non communiquée,2,7 m²,,
